Time	Category	Latitude	Longitude
0.739583333	VANDALISM	37.863646	-122.262822
0.975694444	SEX CRIME	37.86487	-122.267543
0.270833333	DISORDERLY CONDUCT	37.872175	-122.267835
0.958333333	BURGLARY - VEHICLE	37.855294	-122.292475
0.645833333	LARCENY	37.864679	-122.260688
0.319444444	BURGLARY - VEHICLE	37.865511	-122.309965
0.004861111	DISORDERLY CONDUCT	37.868512	-122.26781
0.559027778	BURGLARY - VEHICLE	37.859412	-122.281871
0.763888889	LARCENY	37.899769	-122.275236
0.715277778	DRUG VIOLATION	37.868489	-122.26795
0.708333333	LARCENY	37.855593	-122.283039
0.534722222	LARCENY	37.871167	-122.268285
0.427083333	DISORDERLY CONDUCT	37.879787	-122.272745
0.960416667	ASSAULT	37.86695	-122.286984
0.541666667	BURGLARY - VEHICLE	37.880139	-122.2975
0.958333333	BURGLARY - VEHICLE	37.880139	-122.2975
0.371527778	BURGLARY - VEHICLE	37.877148	-122.296932
0.111111111	BURGLARY - VEHICLE	37.894536	-122.272056
0.916666667	LARCENY	37.86097	-122.262273
0.38125	BURGLARY - VEHICLE	37.894836	-122.268516
0.378472222	BURGLARY - VEHICLE	37.895557	-122.267691
0.5	BURGLARY - RESIDENTIAL	37.859228	-122.26165
0	LARCENY	37.855684	-122.263491
0.054861111	DRUG VIOLATION	37.863938	-122.253735
0.588194444	FRAUD	37.894233	-122.260551
0.708333333	DISORDERLY CONDUCT	37.857099	-122.263785
0.304166667	BURGLARY - VEHICLE	37.879318	-122.297876
0.791666667	MOTOR VEHICLE THEFT	37.8667	-122.267614
0.541666667	LARCENY	37.871607	-122.284336
0.375	MOTOR VEHICLE THEFT	37.850532	-122.286089
0.9375	LARCENY	37.868352	-122.254459
0.041666667	MOTOR VEHICLE THEFT	37.855053	-122.286577
0.791666667	MOTOR VEHICLE THEFT	37.871368	-122.292954
0.75	BURGLARY - VEHICLE	37.859918	-122.254574
0.501388889	LIQUOR LAW VIOLATION	37.878024	-122.30798
0.84375	BURGLARY - VEHICLE	37.867513	-122.26127
0.5	LARCENY	37.857694	-122.281628
0.958333333	ROBBERY	37.852066	-122.272994
0.270833333	BURGLARY - COMMERCIAL	37.881885	-122.260433
0.339583333	DISORDERLY CONDUCT	37.869384	-122.28953
0.654861111	DRUG VIOLATION	37.869363	-122.268028
0.489583333	BURGLARY - VEHICLE	37.870287	-122.316238
0.776388889	SEX CRIME	37.874182	-122.265937
0.010416667	MOTOR VEHICLE THEFT	37.863072	-122.260352
0.680555556	LARCENY	37.871822	-122.270562
0.665972222	RECOVERED VEHICLE	37.856719	-122.266672
0.6875	MOTOR VEHICLE THEFT	37.867117	-122.283641
0.743055556	LARCENY	37.869363	-122.268028
0.979166667	LARCENY	37.885934	-122.267691
0.5	LARCENY	37.8692	-122.269308
0.513888889	LARCENY	37.864827	-122.258577
0.073611111	DRUG VIOLATION	37.869067	-122.292043
0.802083333	BURGLARY - COMMERCIAL	37.855823	-122.247116
0.708333333	BURGLARY - VEHICLE	37.880139	-122.2975
0.583333333	LARCENY	37.869057	-122.270463
0.494444444	DRUG VIOLATION	37.870298	-122.275101
0.145833333	BURGLARY - COMMERCIAL	37.852136	-122.273695
0.333333333	LARCENY - FROM VEHICLE	37.850681	-122.270619
0.320138889	LARCENY - FROM VEHICLE	37.869973	-122.270557
0.202083333	BURGLARY - RESIDENTIAL	37.872949	-122.273171
0.643055556	LARCENY	37.869057	-122.270463
0.84375	LARCENY	37.869694	-122.267999
0.375	DISORDERLY CONDUCT	37.869697	-122.272713
0.895833333	MOTOR VEHICLE THEFT	37.867117	-122.283641
0.75	ROBBERY	37.866253	-122.299483
